f, av, bv, cv, dv
113.00,1.495386e-01,6.442245e-04,-5.264396e-04,5.970812e-05
113.50,1.509335e-01,6.501089e-04,-5.313382e-04,6.028490e-05
114.00,1.523310e-01,6.560324e-04,-5.362413e-04,6.086603e-05
114.50,1.537292e-01,6.619963e-04,-5.411409e-04,6.145142e-05
115.00,1.551259e-01,6.680010e-04,-5.460256e-04,6.204080e-05
115.50,1.565181e-01,6.740461e-04,-5.508798e-04,6.263356e-05
116.00,1.579016e-01,6.801287e-04,-5.556818e-04,6.322853e-05
116.50,1.592718e-01,6.862415e-04,-5.604022e-04,6.382345e-05
117.00,1.606233e-01,6.923704e-04,-5.650025e-04,6.441424e-05
117.50,1.619516e-01,6.984923e-04,-5.694370e-04,6.499388e-05
118.00,1.632571e-01,7.045783e-04,-5.736651e-04,6.555147e-05
118.50,1.645520e-01,7.106101e-04,-5.776862e-04,6.607354e-05
119.00,1.658690e-01,7.166156e-04,-5.816150e-04,6.655425e-05
119.50,1.672583e-01,7.226843e-04,-5.857792e-04,6.702389e-05
120.00,1.688072e-01,7.290274e-04,-5.908342e-04,6.756347e-05
120.50,1.703534e-01,7.351200e-04,-5.966323e-04,6.828471e-05
121.00,1.720642e-01,7.414913e-04,-6.033553e-04,6.907938e-05
121.50,1.738550e-01,7.479298e-04,-6.103604e-04,6.986677e-05
122.00,1.756763e-01,7.543427e-04,-6.173136e-04,7.061487e-05
122.50,1.774939e-01,7.606980e-04,-6.240886e-04,7.132816e-05
123.00,1.792939e-01,7.670121e-04,-6.306763e-04,7.201957e-05
123.50,1.810748e-01,7.733142e-04,-6.371114e-04,7.270006e-05
124.00,1.828404e-01,7.796286e-04,-6.434365e-04,7.337690e-05
124.50,1.845955e-01,7.859710e-04,-6.496891e-04,7.405450e-05
125.00,1.863451e-01,7.923500e-04,-6.558989e-04,7.473541e-05
125.50,1.880933e-01,7.987697e-04,-6.620881e-04,7.542112e-05
126.00,1.898433e-01,8.052316e-04,-6.682736e-04,7.611248e-05
126.50,1.915977e-01,8.117359e-04,-6.744679e-04,7.681001e-05
127.00,1.933588e-01,8.182818e-04,-6.806805e-04,7.751402e-05
127.50,1.951281e-01,8.248687e-04,-6.869187e-04,7.822475e-05
128.00,1.969070e-01,8.314955e-04,-6.931883e-04,7.894236e-05
128.50,1.986968e-01,8.381614e-04,-6.994941e-04,7.966701e-05
129.00,2.004982e-01,8.448658e-04,-7.058399e-04,8.039883e-05
129.50,2.023123e-01,8.516080e-04,-7.122291e-04,8.113798e-05
130.00,2.041398e-01,8.583875e-04,-7.186645e-04,8.188461e-05
130.50,2.059813e-01,8.652041e-04,-7.251487e-04,8.263887e-05
131.00,2.078376e-01,8.720573e-04,-7.316841e-04,8.340092e-05
131.50,2.097091e-01,8.789470e-04,-7.382730e-04,8.417097e-05
132.00,2.115965e-01,8.858730e-04,-7.449175e-04,8.494919e-05
132.50,2.135005e-01,8.928355e-04,-7.516197e-04,8.573579e-05
133.00,2.154215e-01,8.998343e-04,-7.583816e-04,8.653100e-05
133.50,2.173601e-01,9.068695e-04,-7.652054e-04,8.733504e-05
134.00,2.193169e-01,9.139412e-04,-7.720931e-04,8.814817e-05
134.50,2.212926e-01,9.210497e-04,-7.790468e-04,8.897064e-05
135.00,2.232878e-01,9.281951e-04,-7.860686e-04,8.980274e-05
